V1,V2,V3,V4
33.4384765625,-25.4384765625,111.9140625,-31.9140625
49.321533203125,-9.321533203125,104.943359375,-40.943359375
48.4754638671875,-8.4754638671875,111.71533203125,-35.71533203125
34.916015625,-18.916015625,123.978515625,-23.978515625
26.889404296875,-22.889404296875,117.65673828125,-29.65673828125
40.8304443359375,-4.8304443359375,106.87646484375,-38.87646484375
39.2227783203125,-3.2227783203125,109.9150390625,-33.9150390625
22.4093017578125,-18.4093017578125,121.09326171875,-21.09326171875
24.448486328125,-16.448486328125,104.66552734375,-36.66552734375
31.100830078125,-11.100830078125,120.74365234375,-20.74365234375
41.96337890625,-1.96337890625,107.2919921875,-35.2919921875
24.67724609375,-20.67724609375,104.16357421875,-40.16357421875
27.087646484375,-19.087646484375,111.158203125,-35.158203125
29.2830810546875,-17.2830810546875,112.06787109375,-36.06787109375
35.50732421875,-11.50732421875,104.71875,-44.71875
40.010009765625,-8.010009765625,105.00634765625,-45.00634765625
32.889892578125,-16.889892578125,118.92138671875,-30.92138671875
46.01318359375,-6.01318359375,122.5439453125,-26.5439453125
47.0594482421875,-7.0594482421875,122.01806640625,-26.01806640625
33.6981201171875,-21.6981201171875,123.49462890625,-23.49462890625
39.78271484375,-15.78271484375,111.09619140625,-35.09619140625
47.4498291015625,-7.4498291015625,102.89453125,-42.89453125
39.048583984375,-15.048583984375,114.91357421875,-30.91357421875
34.95654296875,-18.95654296875,113.1318359375,-33.1318359375
47.3741455078125,-7.3741455078125,121.49609375,-25.49609375
44.21337890625,-12.21337890625,119.94091796875,-27.94091796875
39.128662109375,-19.128662109375,124.4091796875,-24.4091796875
43.6781005859375,-15.6781005859375,122.85791015625,-26.85791015625
39.5338134765625,-19.5338134765625,115.25048828125,-35.25048828125
30.639404296875,-26.639404296875,121.54296875,-29.54296875
43.2413330078125,-11.2413330078125,105.6767578125,-45.6767578125
45.78662109375,-5.78662109375,117.5859375,-33.5859375
30.73583984375,-18.73583984375,109.22900390625,-41.22900390625
42.3658447265625,-6.3658447265625,104.619140625,-44.619140625
38.6585693359375,-10.6585693359375,121.83984375,-25.83984375
43.314453125,-7.314453125,123.0107421875,-23.0107421875
45.89892578125,-5.89892578125,110.23388671875,-34.23388671875
32.03564453125,-20.03564453125,115.548828125,-27.548828125
31.55224609375,-19.55224609375,106.9404296875,-34.9404296875
42.4998779296875,-6.4998779296875,102.390625,-38.390625
37.054931640625,-9.054931640625,107.919921875,-31.919921875
